"spp","spp_num","common_name","sci_name","Nobs","birdofprey","hummingbird","woodpecker","waterfowl","shorebirds","waterbird_guild","SGCN","ESA","MEXFED","USFS","BLM","Mass","Hand.Wing.Index","dietdiv","effect_urb","effect_temp","effect_tempint","effect_veg","effect_vegint","dynamic","effect_highertemp","effect_lessgreen","mean_effect_urb","median_effect_urb","low95_effect_urb","upp95_effect_urb","low90_effect_urb","upp90_effect_urb","mean_effect_temp","median_effect_temp","low95_effect_temp","upp95_effect_temp","low90_effect_temp","upp90_effect_temp","mean_effect_tempint","median_effect_tempint","low95_effect_tempint","upp95_effect_tempint","low90_effect_tempint","upp90_effect_tempint","mean_effect_veg","median_effect_veg","low95_effect_veg","upp95_effect_veg","low90_effect_veg","upp90_effect_veg","mean_effect_vegint","median_effect_vegint","low95_effect_vegint","upp95_effect_vegint","low90_effect_vegint","upp90_effect_vegint","mean_theta","median_theta","low95_theta","upp95_theta","low90_theta","upp90_theta","order_urbeffect","order_tempeffect","order_vegeffect","order_mass","order_HWI","order_dietdiv","order_theta"
"BCNH",11,"Black-crowned Night-Heron","Nycticorax nycticorax",43,0,0,0,0,0,"Wading Bird",NA,NA,NA,NA,NA,810,33.1,1.3661588475692,"Neutral","Neutral","Negative","Neutral","Neutral","Y","Less urban-associated",NA,-0.115825345153446,-0.11711369339204,-0.640900298180578,0.417818290641488,-0.559871146423285,0.331931126911112,0.275817224727547,0.271856785385224,-0.219827060126747,0.786950533039617,-0.139334242165147,0.704747085623878,-0.525853177952802,-0.525409357691294,-1.01602075880339,-0.0416627574754373,-0.934749303785032,-0.120950840146386,0.206424655595255,0.205898763104145,-0.199102781067908,0.611890764026114,-0.130600784149763,0.544109851818068,-0.167145287785949,-0.174527325154266,-0.545972100328861,0.249992719034647,-0.488547538483809,0.180565164733912,0.995153518975373,0.996149069334546,0.985311548797053,0.999027918921727,0.988125993759281,0.998791231391713,"100","104","81","123","92","131","114"
"BEKI",12,"Belted Kingfisher","Megaceryle alcyon",8,0,0,0,0,0,"Fish eating",NA,NA,NA,NA,NA,148,33.6,0.940447988655326,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.668121182098511,-0.659953221991342,-1.47657733477701,0.0820993824038049,-1.3350777822512,-0.0371356947901675,0.33028032808911,0.325623845513046,-0.248758750018213,0.929513047296251,-0.15571679606845,0.830420093405043,-0.374178496122199,-0.370245398323024,-0.983186460050839,0.203758866748515,-0.876970867268874,0.116478962866456,0.407060916995756,0.393031348658716,-0.111780994970772,1.004254300284,-0.0305567339642639,0.891627345799379,-0.381933915627359,-0.377186283505239,-0.899904466699727,0.116251817338613,-0.807342302796711,0.0406332809695886,0.949433557543021,0.980818189635885,0.691994256411171,0.99908663745281,0.78905162883302,0.998457515931096,"49","116","117","94","95","105","46"
"BETH",13,"Bendire's Thrasher","Toxostoma bendirei",6,0,0,0,0,0,NA,2,NA,NA,NA,NA,62.2,19.6,1.02965301406457,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.805641232332435,-0.791518391507054,-1.69405453445769,-0.0167736492152255,-1.52885920309052,-0.130813389429892,0.021827093600382,0.022066702395193,-0.583622560576782,0.630997843872369,-0.484896889552395,0.527499530770069,-0.205456113068849,-0.204436450593217,-0.808769412577069,0.393506232030388,-0.712016768528845,0.29619687218315,-0.193816932392894,-0.190052858524625,-0.816497254897812,0.405833249210049,-0.712341132385236,0.306862104905483,0.112992432447702,0.108435031043197,-0.446350004184279,0.696045311342351,-0.357530702076741,0.600702780893827,0.933081238597929,0.96997516337411,0.620917651047924,0.99819120876331,0.737747844481924,0.997028444589975,"33","30","15","80","23","114","22"
"BEVI",14,"Bell's Vireo","Vireo bellii",41,0,0,0,0,0,NA,NA,NA,NA,NA,NA,8.5,19.4,0.325082973391448,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.923718139173312,-0.915871509842688,-1.55986526264973,-0.327615139231883,-1.45387939571261,-0.420380651210225,0.156189229405835,0.154989396379118,-0.36364575401385,0.671421207154962,-0.275293491438482,0.583325322224747,0.16247552309349,0.16060814054842,-0.306909673047036,0.642804894686049,-0.229751909776754,0.559769820066672,0.0529059881620439,0.0526488321201996,-0.392813604819742,0.495973753808881,-0.319812064649956,0.427580250833214,-0.226565622061763,-0.231233967296399,-0.660070913605102,0.231848787356208,-0.593291795541987,0.151664493032211,0.995236308265733,0.996184351218089,0.985794669958463,0.99908900724138,0.988539534386446,0.998826502041689,"18","60","53","11","22","25","115"
"BEWR",15,"Bewick's Wren","Thryomanes bewickii",21,0,0,0,0,0,NA,NA,NA,NA,NA,NA,9.9,13.8,0.500402423538188,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-1.33176453724606,-1.31267192475344,-2.13907432023254,-0.627613188086545,-1.99742520410378,-0.732332533252968,0.270986501235776,0.2707109338933,-0.26789561544792,0.823477557760059,-0.183930958608792,0.732610005121043,-0.21287518639071,-0.21021782947864,-0.733816053887856,0.297002813119563,-0.646061466628985,0.212078005446387,0.0944052571669477,0.0935746389455225,-0.37459694828758,0.567782441606252,-0.298118302556851,0.49294197441134,-0.380985548325553,-0.381442114243514,-0.867511697256381,0.105931490254674,-0.786154454676288,0.0283755731904864,0.990477217921572,0.993754617514275,0.962183628273885,0.998952499260917,0.97170315238717,0.998608039353373,"6","102","62","17","9","45","97"
"BGGN",16,"Blue-gray Gnatcatcher","Polioptila caerulea",3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.8,19.1,0,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-1.02925442572857,-1.00958195402587,-2.07335602303038,-0.0828089211637432,-1.88850163944438,-0.229794711754895,0.0455653055495983,0.0471590991450226,-0.580610303989962,0.660734752272847,-0.477458737434424,0.560731441847032,0.0147624087231748,0.0160283263755789,-0.58869791431148,0.622477214695361,-0.489961157287682,0.522683971685656,0.0281636787970587,0.0295181517892219,-0.555849891865906,0.614913403642278,-0.460849749066284,0.515299229396097,-0.185574437627115,-0.186146072909741,-0.733463610866074,0.36730580312193,-0.649075325923324,0.278624679501263,0.919505753154174,0.960738404087352,0.584821280252866,0.997102859372143,0.692971345903848,0.995536086713387,"17","33","46","5","21","4","11"
"BHCO",17,"Brown-headed Cowbird","Molothrus ater",198,0,0,0,0,0,NA,NA,NA,NA,NA,NA,40.3,33,0.673011667009257,"Neutral","Neutral","Negative","Positive","Neutral","Y","Less urban-associated","Lower overall occupancy",-0.00538066383927204,-0.00329540005493231,-0.378680116149137,0.363632371971558,-0.315180164524133,0.301501775125865,0.336593873922278,0.334944106873768,-0.0675209505295587,0.746937772920254,-0.00226126285928972,0.678652989944023,-0.344628546627312,-0.345153133234773,-0.726821009006276,0.0339890936696256,-0.664700486832407,-0.0274773904293172,0.703955333260494,0.695548822529147,0.319580716170602,1.12966781674627,0.375807800301723,1.05922526027175,-0.209634862776321,-0.211178409912668,-0.56896546402369,0.15481788955144,-0.509556297569938,0.0951240105390456,0.994082536115377,0.995045158950328,0.983862291017484,0.998759728844658,0.986491534447294,0.998421824127834,"107","118","137","68","91","70","107"
"BHGR",18,"Black-headed Grosbeak","Pheucticus melanocephalus",2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,47.1,24.2,0.801818552543337,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.214936316257617,-0.212114901369262,-1.21137051241103,0.750162229677931,-1.03359728199844,0.594244887967894,0.197986353341703,0.195965043570569,-0.414486388114164,0.825282469304334,-0.315140271297739,0.717596505199901,-0.245258233605712,-0.242804635811087,-0.868260932176574,0.363939026720325,-0.766856891720485,0.265416275048905,0.235166321584923,0.23473677593171,-0.36298161063141,0.838718285771919,-0.267288904115137,0.73829547020283,-0.0359521205079267,-0.0390309665703503,-0.596037683419966,0.545192565477667,-0.505746588120418,0.446470545883542,0.949601103154853,0.981056051078413,0.679503854605348,0.999007426986238,0.791308224954756,0.998388657390903,"90","78","89","73","53","87","49"
"BLPH",19,"Black Phoebe","Sayornis nigricans",26,0,0,0,0,0,NA,NA,NA,NA,NA,NA,18.6,22,0,"Neutral","Neutral","Neutral","Neutral","Negative","Y",NA,"More urban-associated",-0.507620137908909,-0.503110155363669,-1.14547616751794,0.100224415466395,-1.03263032958936,0.00526573528132861,0.439647863712876,0.436379070078504,-0.112119486306034,1.01200359534434,-0.0250539953075681,0.916415340312454,-0.349319878215585,-0.346628111554902,-0.896328502675213,0.187828294500365,-0.807963530542664,0.100000779224348,0.0264337281345489,0.0252931569249202,-0.40051991356516,0.458099522195403,-0.330926434683693,0.388696595324228,-0.467345978412618,-0.471055619155218,-0.882815964463689,-0.0330319781553589,-0.812670440510725,-0.107709997174284,0.997586469833553,0.99902341995723,0.98647007460736,0.999926874229629,0.991345363360636,0.99988893676649,"59","132","44","38","37","6","134"
"BLVU",20,"Black Vulture","Coragyps atratus",2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1881.7,14.3,0.940447988655326,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-1.08986685824456,-1.07700996511605,-2.20246671110804,-0.0734161177082748,-2.01144809875457,-0.216181284330992,-0.00788091816507168,-0.00928236377342252,-0.67747688472544,0.658058032482807,-0.566685223145326,0.553355201228943,-0.509139454173136,-0.504689987076145,-1.19129362052682,0.145278939319885,-1.07353389178615,0.0398802348209578,0.278194803949391,0.271411004279327,-0.33606569322026,0.936227472425198,-0.23638680393379,0.817095290814838,-0.352770749264969,-0.350119149472744,-0.977729207738545,0.244882695648546,-0.866829442063666,0.150382903409268,0.956832816900711,0.982050688284561,0.741931475884633,0.998884684813188,0.826777644871175,0.99823849076783,"13","24","99","136","10","100","52"
"BNST",21,"Black-necked Stilt","Himantopus mexicanus",6,0,0,0,0,1,"Shorebird",NA,NA,NA,NA,NA,176.8,51.9,0,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,0.0936967404100282,0.0911309589942255,-0.762204632385951,0.953413492385801,-0.616084757513908,0.809410470074686,0.281937641952437,0.279391175168418,-0.304224323148132,0.882377925876658,-0.210809842803776,0.782032786024145,-0.424580941326789,-0.420812161050539,-1.0408045190011,0.167843731369963,-0.940039822070751,0.0709778093166294,0.398017727125421,0.396779022085976,-0.140954923774989,0.938133513133877,-0.0495303216666679,0.850643202251467,0.0672894477337856,0.0619736656827309,-0.456383802404845,0.618999420172138,-0.373030275559606,0.526656682815739,0.987053591199377,0.993397279940348,0.936509609899896,0.999207424672526,0.95711437585062,0.998877859960383,"117","107","118","101","129","23","95"
"BRBL",22,"Brewer's Blackbird","Euphagus cyanocephalus",10,0,0,0,0,0,NA,2,NA,NA,NA,NA,62.5,31.2,0,"Neutral","Neutral","Neutral","Positive","Neutral","Y",NA,"Lower overall occupancy",-0.392575703454189,-0.388783333784526,-1.10516014938012,0.305603933305092,-0.987759261509827,0.195218467506319,0.184487786718277,0.184225097927186,-0.362375445287969,0.735095565219247,-0.270049529653737,0.642886323571467,-0.293594472981124,-0.290619008708974,-0.850990134402184,0.255109813769916,-0.759773204964755,0.162222454040244,0.52885232844871,0.524992767767031,0.0647706747040408,1.02081261840156,0.136016935753604,0.934961203877817,0.0333396444455418,0.0326335715526664,-0.483379923113054,0.566247032141613,-0.401725617717308,0.470462216464426,0.949141511034536,0.970780303931875,0.764214854212228,0.997378169913483,0.82806831836942,0.996046658982686,"69","75","127","81","82","17","23"
"BROC",23,"Bronzed Cowbird","Molothrus aeneus",4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,62.6,24.9,0.610864302054894,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.25102370529208,-0.248335130600132,-1.10495926018111,0.595563474194026,-0.959525726319004,0.453974607829759,0.246453700135075,0.243595185911198,-0.341891247442462,0.853125912668737,-0.246745066390424,0.748677301695522,-0.245475523423642,-0.244433648946746,-0.836485857472922,0.337896417427907,-0.741272161196385,0.246571615819046,0.245301158835467,0.243103362773837,-0.319390973245174,0.830233593282428,-0.227910344325238,0.729264016586048,-0.112082018245454,-0.114658770160957,-0.653379684745341,0.438936903188667,-0.56547003374893,0.348580802424152,0.940705283569122,0.975376492059235,0.645860568007593,0.998567247867736,0.759716086302969,0.997698947484175,"80","91","91","82","57","57","36"
"BRSP",24,"Brewer's Sparrow","Spizella breweri",135,0,0,0,0,0,NA,2,NA,NA,NA,NA,10.9,20.5,0.693147180559945,"Avoider","Neutral","Negative","Negative","Neutral","Y","Less urban-associated","Higher overall occupancy",-1.06954187607019,-1.06199505121707,-1.51785507427719,-0.664407002544375,-1.43861315148333,-0.725995639147746,0.0167259542484493,0.0159105579542169,-0.394409161008547,0.43346187192891,-0.330665085486265,0.368800222282485,-0.366926763481825,-0.363680819995671,-0.77114603703107,0.0300428799045721,-0.706059811029138,-0.0368199410014179,-0.393276729891562,-0.390570237713671,-0.779790880434284,-0.0244195180500747,-0.712527067013991,-0.0827838480795751,0.269198729763442,0.264507809236706,-0.118548900765633,0.677679308135948,-0.0589078677402443,0.612408275118248,0.943650565267495,0.953270391245618,0.842701542772992,0.989289920466072,0.86917452823176,0.986080253245717,"15","29","5","23","28","74","8"
"BTGN",25,"Black-tailed Gnatcatcher","Polioptila melanura",141,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.2,11.9,0,"Avoider","Neutral","Neutral","Negative","Neutral","Y",NA,"Higher overall occupancy",-1.56127105054433,-1.55330287508818,-2.10922389086635,-1.05182570018897,-2.01637357143699,-1.13632327362336,0.109210638217293,0.109274754900577,-0.357792111777035,0.580249686271346,-0.279022374436307,0.500453743949297,-0.203322419610004,-0.201618837775769,-0.629896427289239,0.223692519494196,-0.56247717596974,0.150420369123147,-0.532985288173033,-0.530179513303324,-0.991195064230013,-0.083314278723766,-0.917594774717676,-0.15688090516173,0.136848494349523,0.13133224187404,-0.290962717530795,0.59123918349227,-0.225219391431485,0.515863819243651,0.978828133654525,0.982322087752971,0.942166196887522,0.99512123410033,0.951832816554219,0.993938186531649,"3","42","2","4","2","1","54"
"BTSP",26,"Black-throated Sparrow","Amphispiza bilineata",159,0,0,0,0,0,NA,2,NA,NA,NA,NA,13.5,17.7,0.693147180559945,"Avoider","Neutral","Neutral","Negative","Neutral","Y",NA,"Higher overall occupancy",-1.51393133081968,-1.50871438271772,-2.04129153921938,-1.01746269090707,-1.95606194631668,-1.09037234852257,-0.0904397287896675,-0.0881896761916883,-0.544318746326138,0.355820671043736,-0.467246177482003,0.284122613788675,-0.240189141220609,-0.240647707915428,-0.657706726103366,0.175902388549527,-0.587939418122595,0.109906647963872,-0.47239067101007,-0.470526733330241,-0.93019827662428,-0.0293186611129972,-0.853493356910051,-0.0984619199200334,0.239968305346498,0.235684634323829,-0.197410063462257,0.702793681297807,-0.129193640234272,0.624675898894677,0.981929842306847,0.984313683370118,0.954774050911541,0.995267481446233,0.961608593383387,0.994176512213384,"4","13","4","30","18","73","63"
"BTYW",27,"Black-throated Gray Warbler","Setophaga nigrescens",9,0,0,0,0,0,NA,2,NA,NA,NA,NA,8.7,23.4,0,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.214220615217084,-0.2136764621131,-0.860449565836695,0.440718076382274,-0.762322581409718,0.335026035496401,0.300503699438431,0.30031430510684,-0.255691623262669,0.863750302601222,-0.163244786717827,0.765423032891627,-0.411445521688247,-0.405060714347183,-0.988101021784395,0.136486884736442,-0.894984715387434,0.0505606223108412,-0.0590886236835823,-0.0568505651527993,-0.583537197512551,0.4550814800532,-0.494792732782842,0.369923842647805,-0.140462250203542,-0.138524237359315,-0.674952427860056,0.37300251016428,-0.573091214294197,0.289750243701353,0.988833504993452,0.995030138086784,0.937932315477373,0.999480841588426,0.961029674911829,0.999245196659242,"89","111","26","12","43","9","106"
"BUOR",28,"Bullock's Oriole","Icterus bullockii",21,0,0,0,0,0,NA,2,NA,NA,NA,NA,37.9,26.3,0.89794572485678,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.708821600092869,-0.698848253629034,-1.31864946719692,-0.16245061562181,-1.20824684981269,-0.246004638809336,0.0049047145769213,0.00434132863081001,-0.487610897211154,0.502357192191448,-0.409635112668151,0.421853621823931,-0.367110536541036,-0.365317796400097,-0.863941756345302,0.125016490757906,-0.779185800863251,0.0435080424551525,0.0351764233411416,0.0277900827405424,-0.42661289809769,0.545106580287047,-0.348425337697102,0.447183364689793,-0.345544962727573,-0.340976290193293,-0.840986279280187,0.120347388820376,-0.752955301679316,0.045771387537469,0.979357180706522,0.989862101608775,0.895910613855484,0.998754850168564,0.930925885751363,0.99825897433873,"47","26","45","64","62","94","78"
"BUOW",29,"Burrowing Owl","Athene cunicularia",25,1,0,0,0,0,NA,NA,NA,NA,NA,NA,150.6,28.3,0.801818552543337,"Neutral","Neutral","Neutral","Positive","Neutral","Y",NA,"Lower overall occupancy",-0.351515242250752,-0.350819903404162,-1.19845867296685,0.487156277488766,-1.0513472277316,0.350570422310387,0.169804379689358,0.167691719748846,-0.376197962341313,0.725108118886815,-0.286968141246254,0.633446528318093,-0.366306710529987,-0.364494993786818,-0.949844063291677,0.201089088943475,-0.853236248836274,0.113172436626506,0.605864831744632,0.605501276682028,0.117542556400606,1.09981549881689,0.197028486052572,1.01925681323798,-0.0541015234255415,-0.0592970331051949,-0.535992016778871,0.452669265141087,-0.465577825079975,0.366577590736334,0.998965911597841,0.999312319387095,0.995965536665039,0.999912097548775,0.996923617678849,0.999874149914305,"75","69","134","96","74","90","137"
