"common_name","code","sci_name","code6"
"Black-throated Gray Warbler","BTYW","Setophaga nigrescens","SETNIG"
"Bufflehead","BUFF","Bucephala albeola","BUCALB"
"Bullock's Oriole","BUOR","Icterus bullockii","ICTBUL"
"Burrowing Owl","BUOW","Athene cunicularia","ATHCUN"
"Bushtit","BUSH","Psaltriparus minimus","PSAMIN"
"Blue-winged Teal","BWTE","Spatula discors","SPADIS"
"Cactus Wren","CACW","Campylorhynchus brunneicapillus","CAMBRU"
"Cattle Egret","CAEG","Bubulcus ibis","BUBIBI"
"Cassin's Kingbird","CAKI","Tyrannus vociferans","TYRVOC"
"Canada Goose","CANG","Branta canadensis","BRACAN"
"Canyon Towhee","CANT","Melozone fusca","MEZFUS"
"Canvasback","CANV","Aythya valisineria","AYTVAL"
"Canyon Wren","CANW","Catherpes mexicanus","CAPMEX"
"Cassin's Vireo","CAVI","Vireo cassinii","VIRCAS"
"Curve-billed Thrasher","CBTH","Toxostoma curvirostre","TOXCUR"
"Chestnut-collared Longspur","CCLO","Calcarius ornatus","CALORN"
"Clay-colored Sparrow","CCSP","Spizella pallida","SPIPAL"
"Cedar Waxwing","CEDW","Bombycilla cedrorum","BOMCED"
"Common Ground Dove","CGDO","Columbina passerina","COLPAS"
"Chinese Goose","CHGO","Anser cygnoides domesticus",NA
"Chipping Sparrow","CHSP","Spizella passerina","SPIPAS"
"Cinnamon Teal","CITE","Spatula cyanoptera","SPACYA"
"Cliff Swallow","CLSW","Petrochelidon pyrrhonota","PETPYR"
"Common Black Hawk","COBH","Buteogallus anthracinus","BUTANT"
"Common Gallinule","COGA","Gallinula galeata","GALGAT"
"Common Goldeneye","COGO","Bucephala clangula","BUCCLA"
"Cooper's Hawk","COHA","Accipiter cooperii","ACCCOO"
"Costa's Hummingbird","COHU","Calypte costae","CALCOS"
"Common Loon","COLO","Gavia immer","GAVIMM"
"Common Merganser","COME","Mergus merganser","MERMER"
"Common Nighthawk","CONI","Chordeiles minor","CHOMIN"
"Common Poorwill","COPO","Phalaenoptilus nuttallii","PHANUT"
"Common Raven","CORA","Corvus corax","CORCOX"
"Cockatiel","COTE","Nymphicus hollandicus",NA
"Common Yellowthroat","COYE","Geothlypis trichas","GEOTRI"
"Crissal Thrasher","CRTH","Toxostoma crissale","TOXCRI"
"Chestnut-sided Warbler","CSWA","Setophaga pensylvanica","SETPEN"
"Double-crested Cormorant","DCCO","Nannopterum auritum","NANAUR"
"Dark-eyed Junco","DEJU","Junco hyemalis","JUNHYE"
"Domestic Duck","DODU","Anas platyrhynchos domesticus",NA
"Domestic Goose","DOGO","Anser anser domesticus",NA
"Downy Woodpecker","DOWO","Dryobates pubescens","DRYPUB"
"Dusky Flycatcher","DUFL","Empidonax oberholseri","EMPOBE"
"Eared Grebe","EAGR","Podiceps nigricollis","PODNIG"
"Eastern Phoebe","EAPH","Sayornis phoebe","SAYPHO"
"Eurasian Collared-Dove","EUCD","Streptopelia decaocto","STRDEC"
"European Starling","EUST","Sturnus vulgaris","STUVUL"
"Ferruginous Hawk","FEHA","Buteo regalis","BUTREG"
"Franklin's Gull","FRGU","Leucophaeus pipixcan","LEUPIP"
"Gadwall","GADW","Mareca strepera","MARSTR"
"Gambel's Quail","GAQU","Callipepla gambelii","CALGAM"
"Great Blue Heron","GBHE","Ardea herodias","ARDHER"
"Golden-crowned Kinglet","GCKI","Regulus satrapa","REGSAT"
"Great Horned Owl","GHOW","Bubo virginianus","BUBVIR"
"Gilded Flicker","GIFL","Colaptes chrysoides","COLCHR"
"Gila Woodpecker","GIWO","Melanerpes uropygialis","MELURO"
"Glossy Ibis","GLIB","Plegadis falcinellus","PLEFAL"
"Golden Eagle","GOEA","Aquila chrysaetos","AQUCHR"
"Great Egret","GREG","Ardea alba","ARDALB"
"Gray Flycatcher","GRFL","Empidonax wrightii","EMPWRI"
"Green Heron","GRHE","Butorides virescens","BUTVIR"
"Greater Roadrunner","GRRO","Geococcyx californianus","GEOCAL"
"Gray Vireo","GRVI","Vireo vicinior","VIRVIC"
"Greater Yellowlegs","GRYE","Tringa melanoleuca","TRIMEL"
"Great-tailed Grackle","GTGR","Quiscalus mexicanus","QUIMEX"
"Green-tailed Towhee","GTTO","Pipilo chlorurus","PIPCHL"
"Green-winged Teal","GWTE","Anas crecca","ANACRE"
"Hammond's Flycatcher","HAFL","Empidonax hammondii","EMPHAM"
"Harris's Hawk","HAHA","Parabuteo unicinctus","PARUNI"
"Hairy Woodpecker","HAWO","Dryobates villosus","DRYVIL"
"Hermit Thrush","HETH","Catharus guttatus","CATGUT"
"Hermit Warbler","HEWA","Setophaga occidentalis","SETOCC"
"House Finch","HOFI","Haemorhous mexicanus","HAEMEX"
"Horned Lark","HOLA","Eremophila alpestris","EREALP"
"Hooded Merganser","HOME","Lophodytes cucullatus","LOPCUC"
"Hooded Oriole","HOOR","Icterus cucullatus","ICTCUC"
"House Sparrow","HOSP","Passer domesticus","PASDOM"
"House Wren","HOWR","Troglodytes aedon","TROAED"
"Inca Dove","INDO","Columbina inca","COLINC"
"Island Canary","ISCA","Serinus canaria","SERCAN"
"Killdeer","KILL","Charadrius vociferus","CHAVOC"
"Lawrence's Goldfinch","LAGO","Spinus lawrencei","SPILAW"
"Lark Bunting","LARB","Calamospiza melanocorys","CALMEC"
"Lark Sparrow","LASP","Chondestes grammacus","CHOGRA"
"Lazuli Bunting","LAZB","Passerina amoena","PASAMO"
"Long-billed Curlew","LBCU","Numenius americanus","NUMAME"
"Long-billed Dowitcher","LBDO","Limnodromus scolopaceus","LIMSCO"
"Little Blue Heron","LBHE","Egretta caerulea","EGRCAE"
"Ladder-backed Woodpecker","LBWO","Dryobates scalaris","DRYSCA"
"Least Bittern","LEBI","Ixobrychus exilis","IXOEXI"
"Lesser Goldfinch","LEGO","Spinus psaltria","SPIPSA"
"Lesser Nighthawk","LENI","Chordeiles acutipennis","CHOACU"
"Long-eared Owl","LEOW","Asio otus","ASIOTU"
"Least Sandpiper","LESA","Calidris minutilla","CALMIL"
"Lesser Scaup","LESC","Aythya affinis","AYTAFF"
"Lewis's Woodpecker","LEWO","Melanerpes lewis","MELLEW"
"Lesser Yellowlegs","LEYE","Tringa flavipes","TRIFLA"
"Lincoln's Sparrow","LISP","Melospiza lincolnii","MELLIN"
"Loggerhead Shrike","LOSH","Lanius ludovicianus","LANLUD"
"Lucy's Warbler","LUWA","Leiothlypis luciae","LEILUC"
"Mallard","MALL","Anas platyrhynchos","ANAPLA"
"Magnolia Warbler","MAWA","Setophaga magnolia","SETMAG"
"Marsh Wren","MAWR","Cistothorus palustris","CISPAL"
"Merlin","MERL","Falco columbarius","FALCOL"
"MacGillivray's Warbler","MGWA","Geothlypis tolmiei","GEOTOL"
"Mountain Bluebird","MOBL","Sialia currucoides","SIACUR"
"Mountain Chickadee","MOCH","Poecile gambeli","POEGAM"
"Mourning Dove","MODO","Zenaida macroura","ZENMAC"
"Monk Parakeet","MOPA","Myiopsitta monachus","MYIMON"
"Nashville Warbler","NAWA","Leiothlypis ruficapilla","LEIRUF"
"Neotropic Cormorant","NECO","Nannopterum brasilianum","NANBRA"
"Northern Cardinal","NOCA","Cardinalis cardinalis","CARCAI"
"Northern Flicker","NOFL","Colaptes auratus","COLAUT"
"Northern Harrier","NOHA","Circus hudsonius","CIRHUD"
"Northern Mockingbird","NOMO","Mimus polyglottos","MIMPOL"
"Northern Parula","NOPA","Setophaga americana","SETAME"
"Northern Pintail","NOPI","Anas acuta","ANAACU"
"Northern Rough-winged Swallow","NRWS","Stelgidopteryx serripennis","STESER"
"Northern Shoveler","NSHO","Spatula clypeata","SPACLY"
"Orange-crowned Warbler","OCWA","Leiothlypis celata","LEICEL"
"Osprey","OSPR","Pandion haliaetus","PANHAL"
"Ovenbird","OVEN","Seiurus aurocapilla","SEIAUR"
"Pacific Wren","PAWR","Troglodytes pacificus","TROPAC"
"Pied-billed Grebe","PBGR","Podilymbus podiceps","PODPOD"
"Peregrine Falcon","PEFA","Falco peregrinus","FALPER"
"Phainopepla","PHAI","Phainopepla nitens","PHANIT"
"Pine Siskin","PISI","Spinus pinus","SPIPIN"
"Plumbeous Vireo","PLVI","Vireo plumbeus","VIRPLU"
"Prairie Falcon","PRFA","Falco mexicanus","FALMEX"
"Purple Martin","PUMA","Progne subis","PROSUB"
"Pyrrhuloxia","PYRR","Cardinalis sinuatus","CARSIN"
"Ring-billed Gull","RBGU","Larus delawarensis","LARDEL"
"Ruby-crowned Kinglet","RCKI","Corthylio calendula","CORCAL"
"Rufous-crowned Sparrow","RCSP","Aimophila ruficeps","AIMRUP"
"Redhead","REDH","Aythya americana","AYTAME"
"Rosy-faced Lovebird","RFLO","Agapornis roseicollis","AGAROS"
"Ridgway's Rail","RIRA","Rallus obsoletus","RALOBS"
"Rough-legged Hawk","RLHA","Buteo lagopus","BUTLAG"
"Ring-necked Duck","RNDU","Aythya collaris","AYTCOL"
"Red-naped Sapsucker","RNSA","Sphyrapicus nuchalis","SPHNUC"
"Rock Pigeon","ROPI","Columba livia","COLLIV"
"Rock Wren","ROWR","Salpinctes obsoletus","SALOBS"
"Red-shouldered Hawk","RSHA","Buteo lineatus","BUTLIN"
"Red-tailed Hawk","RTHA","Buteo jamaicensis","BUTJAM"
"Ruddy Duck","RUDU","Oxyura jamaicensis","OXYJAM"
"Rufous Hummingbird","RUHU","Selasphorus rufus","SELRUF"
"Red-winged Blackbird","RWBL","Agelaius phoeniceus","AGEPHO"
"Sagebrush Sparrow","SABS","Artemisiospiza nevadensis","ARTNEV"
"Say's Phoebe","SAPH","Sayornis saya","SAYSAY"
"Sage Thrasher","SATH","Oreoscoptes montanus","OREMON"
"Savannah Sparrow","SAVS","Passerculus sandwichensis","PASSAN"
"Scott's Oriole","SCOR","Icterus parisorum","ICTPAR"
"Snowy Egret","SNEG","Egretta thula","EGRTHU"
"Snow Goose","SNGO","Anser caerulescens","ANSCAE"
"Sora","SORA","Porzana carolina","PORCAR"
"Song Sparrow","SOSP","Melospiza melodia","MELMEL"
"Spotted Sandpiper","SPSA","Actitis macularius","ACTMAC"
"Spotted Towhee","SPTO","Pipilo maculatus","PIPMAC"
"Sharp-shinned Hawk","SSHA","Accipiter striatus","ACCSTR"
"Steller's Jay","STJA","Cyanocitta stelleri","CYASTE"
"Summer Tanager","SUTA","Piranga rubra","PIRRUB"
"Swainson's Hawk","SWHA","Buteo swainsoni","BUTSWA"
"Swamp Sparrow","SWSP","Melospiza georgiana","MELGEO"
"Townsend's Solitaire","TOSO","Myadestes townsendi","MYATOW"
"Townsend's Warbler","TOWA","Setophaga townsendi","SETTOW"
"Tree Swallow","TRES","Tachycineta bicolor","TACBIC"
"Turkey Vulture","TUVU","Cathartes aura","CAEAUR"
"Unidentified Accipiter Hawk","UAHA","Accipiter sp.","ACCSPE"
"Unidentified Chordeiles Nighthawk","UCNI","Chordeiles sp.",NA
"Unidentified Calidris Sandpiper","UCSA","Calidris sp.",NA
"Unidentified Cormorant","UDCO","Nannopterum sp.",NA
"Unidentified Dove","UDOV","Columbidae (gen, sp)",NA
"Unidentified Empidonax Flycatcher","UEFL","Empidonax sp.",NA
"Unidentified Egret/Heron","UEHE","Ardeidae (gen, sp)",NA
"Unidentified Flicker","UFLI","Colaptes sp.",NA
"Unidentified Jay","UJAY",NA,NA
"Unidentified Myiarchus Flycatcher","UMFL","Myiarchus sp.",NA
"Unidentified Bird","UNBI","Aves (gen, sp)","AVEGSP"
"Unidentified Blackbird","UNBL","Icteridae (gen, sp)","ICTGSP"
"Unidentified Buteo","UNBU","Buteo sp.",NA
"Unidentified Cowbird","UNCO","Molothrus sp.",NA
"Unidentified Dowitcher","UNDO","Limnodromus sp.","LIMSPE"
"Unidentified Duck","UNDU","Anatinae (gen, sp)","ANAGSP"
"Unidentified Egret","UNEG","Ardeidae (gen, sp)",NA
"Unidentified Falcon","UNFA","Falconiformes (gen, sp)",NA
"Unidentified House Sparrow or Finch","UNFI",NA,NA
"Unidentified Flycatcher","UNFL","Colaptes sp.","TYRGEN"
"Unidentified Gnatcatcher","UNGN","Polioptila sp.",NA
"Unidentified Goose","UNGO","Anserinae (gen. sp.)","ANSGSP"
"Unidentified Gull","UNGU","Laridae (gen, sp)",NA
"Unidentified Hawk","UNHA","Accipitridae (gen, sp)","ACCGSP"
"Unidentified Heron","UNHE","Ardeidae (gen, sp)",NA
"Unidentified Hummingbird","UNHU","Trochilidae (gen, sp)","TRCGSP"
"Unidentified Ibis","UNIB","Plegadis sp.",NA
"Unidentified Kingbird","UNKI","Tyrannus sp.",NA
"Unidentified Oriole","UNOR","Icterus sp.",NA
"Unidentified Owl","UNOW","Strigidae (gen, sp)","STRGSP"
"Unidentified Parrot","UNPA","Psittaciformes (gen, sp)",NA
"Unidentified Parakeet","UNPK","Psittaciformes (gen, sp)",NA
"Unidentified Raptor","UNRA",NA,NA
"Unidentified Swift","UNSF",NA,NA
"Unidentified Shorebird","UNSH","Charadriiformes (gen, sp)",NA
"Unidentified Sparrow","UNSP","Passerellidae (gen, sp)","PASGSP"
"Unidentified Stilt","UNST",NA,NA
"Unidentified Swallow","UNSW","Hirundinidae (gen, sp)","HIRGSP"
"Unidentified Tanager","UNTA","Piranga sp.",NA
"Unidentified Towhee","UNTO",NA,NA
"Unidentified Vireo","UNVI","Vireo sp.",NA
"Unidentified Warbler","UNWA","Parulidae (gen, sp)","PARGSP"
"Unidentified Woodpecker","UNWO","Picinae (gen, sp)","PICGSP"
"Unidentified Wren","UNWR","Troglodytidae (gen, sp)","TRGGSP"
"Unidentified Yellowlegs","UNYE","Tringa sp.",NA
"Unidentified Sandpiper","USAN","Charadriiformes (gen, sp)",NA
"Unidentified Thrasher","UTHR","Toxostoma sp.",NA
"Unidentified Wader","UWAD",NA,NA
"Unidentified Waterfowl","UWAT",NA,NA
"Vaux's Swift","VASW","Chaetura vauxi","CHAVAU"
"Vermilion Flycatcher","VEFL","Pyrocephalus rubinus","PYRRUB"
"Verdin","VERD","Auriparus flaviceps","AURFLA"
"Vesper Sparrow","VESP","Pooecetes gramineus","POOGRA"
"Violet-green Swallow","VGSW","Tachycineta thalassina","TACTHA"
"Virginia Rail","VIRA","Rallus limicola","RALLIM"
"Virginia's Warbler","VIWA","Leiothlypis virginiae","LEIVIR"
"Warbling Vireo","WAVI","Vireo gilvus","VIRGIL"
"White-breasted Nuthatch","WBNU","Sitta carolinensis","SITCAR"
"White-crowned Sparrow","WCSP","Zonotrichia leucophrys","ZONLEU"
"Western Bluebird","WEBL","Sialia mexicana","SIAMEX"
"Western Flycatcher","WEFL","Empidonax difficilis","EMPDIF"
"Western Grebe","WEGR","Aechmophorus occidentalis","AECOCC"
"Western Kingbird","WEKI","Tyrannus verticalis","TYRVER"
"Western Meadowlark","WEME","Sturnella neglecta","STUNEG"
"Western Sandpiper","WESA","Calidris mauri","CALMAU"
"Western Tanager","WETA","Piranga ludoviciana","PIRLUD"
"Western Wood-Pewee","WEWP","Contopus sordidulus","CONSOR"
"White-faced Ibis","WFIB","Plegadis chihi","PLECHI"
"Willow Flycatcher","WIFL","Empidonax traillii","EMPTRA"
"Willet","WILL","Tringa semipalmata","TRISEM"
"Wilson's Phalarope","WIPH","Phalaropus tricolor","PHATRI"
"Wilson's Snipe","WISN","Gallinago delicata","GALDEL"
"Wilson's Warbler","WIWA","Cardellina pusilla","CARPUS"
"Woodhouse's Scrub-Jay","WOSJ","Aphelocoma woodhouseii","APHWOO"
"Wood Stork","WOST","Mycteria americana","MYCAME"
"White-throated Sparrow","WTSP","Zonotrichia albicollis","ZONALB"
"White-throated Swift","WTSW","Aeronautes saxatalis","AERSAX"
"White-winged Dove","WWDO","Zenaida asiatica","ZENASI"
"Yellow-breasted Chat","YBCH","Icteria virens","ICTVIR"
"Yellow Warbler","YEWA","Setophaga petechia","SETPET"
"Yellow-headed Blackbird","YHBL","Xanthocephalus xanthocephalus","XANXAN"
"Yellow-rumped Warbler","YRWA","Setophaga coronata","SETCOR"
"Yellow-throated Warbler","YTWA","Setophaga dominica","SETDOM"
"Zone-tailed Hawk","ZTHA","Buteo albonotatus","BUTALB"
